n_leaves,n_colors,n_edges,max_cross_pairs,non_edges,non_edge_ratio,mean_out_degree,std_out_degree,max_out_degree,mean_in_degree,std_in_degree,max_in_degree,n_isolated_leaves,max_color_class_size,mean_color_class_size,std_color_class_size,n_singleton_colors,n_reciprocal_edges,reciprocal_ratio,density,reciprocity,n_nontrivial_scc,n_base_cherry_nodes,n_extension_edges,n_chain_nodes,has_chain,max_chain_length,extension_edges_per_cherry,n_false_positive_edges,n_false_negative_edges,num_species,num_hybridizations,mismatch
2,2,2,2,0,0.0,1.0,0.0,1,1.0,0.0,1,0,1,1.0,0.0,2,1,0.5,1.0,1.0,1,0,0,0,False,0,,0,0,2,4,False
54,10,881,2598,1717,0.6608929946112394,16.314814814814813,5.188391865587221,46,16.314814814814813,4.681816971101244,39,0,9,5.4,1.624807680927192,0,406,0.4608399545970488,0.30782669461914747,0.9216799091940976,1,1299,1717,27,True,3,1.3217859892224788,1,0,10,5,True
15,8,159,192,33,0.171875,10.6,2.6783079235467557,14,10.6,2.65329983228432,14,0,3,1.875,0.7806247497997998,3,75,0.4716981132075472,0.7571428571428571,0.9433962264150944,1,96,33,1,True,2,0.34375,0,0,8,3,False
6,6,30,30,0,0.0,5.0,0.0,5,5.0,0.0,5,0,1,1.0,0.0,6,15,0.5,1.0,1.0,1,15,0,0,False,0,0.0,0,0,6,4,False
22,9,247,428,181,0.42289719626168226,11.227272727272727,2.4850794423339355,18,11.227272727272727,3.356565048620365,19,0,3,2.4444444444444446,0.49690399499995325,0,118,0.4777327935222672,0.5346320346320347,0.9554655870445344,1,214,181,8,True,2,0.8457943925233645,1,0,9,3,True
11,7,100,102,2,0.0196078431372549,9.090909090909092,0.6680426571226848,10,9.090909090909092,0.6680426571226848,10,0,2,1.5714285714285714,0.4948716593053935,3,50,0.5,0.9090909090909091,1.0,1,51,2,0,False,1,0.0392156862745098,0,0,7,2,False
10,4,41,66,25,0.3787878787878788,4.1,1.5132745950421556,8,4.1,1.7578395831246947,9,0,5,2.5,1.5,1,20,0.4878048780487805,0.45555555555555555,0.975609756097561,1,33,25,0,False,1,0.7575757575757576,0,0,4,1,False
12,9,123,126,3,0.023809523809523808,10.25,0.82915619758885,11,10.25,0.924211375534118,11,0,2,1.3333333333333333,0.4714045207910317,6,60,0.4878048780487805,0.9318181818181818,0.975609756097561,1,63,3,1,True,2,0.047619047619047616,0,0,9,2,False
20,5,142,264,122,0.4621212121212121,7.1,2.808914381037628,13,7.1,5.965735495309862,19,0,9,4.0,3.3466401061363023,2,55,0.3873239436619718,0.3736842105263158,0.7746478873239436,1,132,122,4,True,2,0.9242424242424242,0,0,5,7,False
2,2,2,2,0,0.0,1.0,0.0,1,1.0,0.0,1,0,1,1.0,0.0,2,1,0.5,1.0,1.0,1,0,0,0,False,0,,0,0,2,4,False
